title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,Nissan,Leaf,2022.0,17350.0,285.0,8.3,1.0,0.0,1.0,Visia,Vestfold/Telemark,1.0,Mobile Auto Vestfold AS,0,164500.0,171889,7389,https://www.finn.no/mobility/item/451807368
Nissan Leaf,Nissan,Leaf,2022.0,40000.0,270.0,2.1333333333333333,1.0,0.0,0.0,Ukjent,Annet,0.0,,0,176532.0,183915,7383,https://www.finn.no/mobility/item/446089693
Nissan Leaf,Nissan,Leaf,2020.0,51520.0,270.0,23.466666666666665,4.0,0.0,0.0,N-Connecta,Annet,0.0,,0,127305.0,134626,7321,https://www.finn.no/mobility/item/354110389
Nissan Leaf,Nissan,Leaf,2023.0,35998.0,395.0,18.6,1.0,0.0,1.0,N-Connecta,Oslo/Akershus,1.0,Mobile Drammen AS,0,238900.0,246159,7259,https://www.finn.no/mobility/item/452531428
Nissan Leaf,Nissan,Leaf,2023.0,43800.0,278.0,12.0,1.0,0.0,1.0,Tekna,Rogaland,1.0,Rogaland Bilformidling AS,0,199000.0,206251,7251,https://www.finn.no/mobility/item/451870560
Nissan Leaf,Nissan,Leaf,2020.0,59000.0,270.0,9.033333333333331,2.0,0.0,0.0,Ukjent,Annet,0.0,,0,139532.0,146757,7225,https://www.finn.no/mobility/item/451529508
Nissan Leaf,Nissan,Leaf,2022.0,28000.0,385.0,6.666666666666667,1.0,0.0,1.0,Ukjent,Annet,1.0,DRIVALIA LEASE NORGE AS,0,219000.0,226181,7181,https://www.finn.no/mobility/item/449340577
Nissan Leaf,Nissan,Leaf,2023.0,18100.0,396.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,DBBIL AS,0,249000.0,256130,7130,https://www.finn.no/mobility/item/452676299
Nissan Leaf,Nissan,Leaf,2020.0,86000.0,385.0,2.333333333333333,2.0,0.0,0.0,Tekna,Vestfold/Telemark,0.0,,0,169932.0,177015,7083,https://www.finn.no/mobility/item/446617108
Nissan Leaf,Nissan,Leaf,2020.0,69980.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Hvaler Bruktbil AS,0,139900.0,146930,7030,https://www.finn.no/mobility/item/452380441
Nissan Leaf,Nissan,Leaf,2018.0,104000.0,385.0,23.866666666666667,1.0,0.0,0.0,Ukjent,Annet,1.0,Vøyen Auto,0,102532.0,109479,6947,https://www.finn.no/mobility/item/452904969
Nissan Leaf,Nissan,Leaf,2018.0,47632.0,385.0,12.0,1.0,0.0,1.0,Tekna,Sørlandet,1.0,AUTO COMPANY AS,0,129900.0,136838,6938,https://www.finn.no/mobility/item/453473663
