title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,status,price_cleaned,predicted_value,value_difference,url
Tesla Model 3,Tesla,Model 3,2019.0,106900.0,560.0,12.666666666666666,1.0,0.0,0.0,Long Range,Annet,1.0,Trygg Bilhus AS,0,Aktiv,198900.0,212501,13601,https://www.finn.no/mobility/item/451722933
Tesla Model 3,Tesla,Model 3,2019.0,121000.0,560.0,9.533333333333331,2.0,0.0,0.0,Ukjent,Rogaland,0.0,,0,Aktiv,189000.0,202477,13477,https://www.finn.no/mobility/item/453056882
Tesla Model 3,Tesla,Model 3,2019.0,89000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Pitstop Bilsalg Ny AS,0,Aktiv,198982.0,212191,13209,https://www.finn.no/mobility/item/450806351
Tesla Model 3,Tesla,Model 3,2019.0,89000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Pitstop Bilsalg Ny AS,0,Aktiv,198982.0,212191,13209,https://www.finn.no/mobility/item/450804589
Tesla Model 3,Tesla,Model 3,2019.0,106000.0,560.0,16.033333333333335,2.0,0.0,0.0,Long Range,Oslo/Akershus,0.0,,0,Aktiv,204532.0,217685,13153,https://www.finn.no/mobility/item/451108259
Tesla Model 3,Tesla,Model 3,2019.0,65000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Oslo/Akershus,1.0,Jessheim Bilsenter,0,Aktiv,218982.0,232051,13069,https://www.finn.no/mobility/item/450521810
Tesla Model 3,Tesla,Model 3,2019.0,65000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Oslo/Akershus,1.0,Oslo Bilsenter AS,0,Aktiv,219000.0,232051,13051,https://www.finn.no/mobility/item/452391684
Tesla Model 3,Tesla,Model 3,2024.0,26000.0,629.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Car4Sale AS,0,Aktiv,399000.0,411716,12716,https://www.finn.no/mobility/item/449617986
Tesla Model 3,Tesla,Model 3,2024.0,35700.0,629.0,29.83333333333333,1.0,0.0,1.0,Ukjent,Annet,0.0,,0,Aktiv,397343.0,410056,12713,https://www.finn.no/mobility/item/436857650
Tesla Model 3,Tesla,Model 3,2021.0,109900.0,448.0,12.0,1.0,0.0,1.0,Standard Range,Østfold,1.0,Gretland Bil AS,0,Aktiv,198000.0,210652,12652,https://www.finn.no/mobility/item/451655559
Tesla Model 3,Tesla,Model 3,2021.0,74800.0,448.0,15.8,1.0,0.0,1.0,Ukjent,Vestland,0.0,,0,Aktiv,220000.0,232577,12577,https://www.finn.no/mobility/item/450333053
Tesla Model 3,Tesla,Model 3,2019.0,92800.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,199900.0,212377,12477,https://www.finn.no/mobility/item/451647281
Tesla Model 3,Tesla,Model 3,2022.0,53000.0,491.0,12.0,1.0,0.0,1.0,Standard Range,Vestland,1.0,Car4Sale AS,0,Aktiv,259000.0,271389,12389,https://www.finn.no/mobility/item/434915772
Tesla Model 3,Tesla,Model 3,2019.0,85000.0,560.0,12.0,1.0,0.0,0.0,Ukjent,Annet,1.0,AASEN AUTO,0,Aktiv,199990.0,212379,12389,https://www.finn.no/mobility/item/448998298
Tesla Model 3,Tesla,Model 3,2024.0,55000.0,629.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,365000.0,377251,12251,https://www.finn.no/mobility/item/438949518
Tesla Model 3,Tesla,Model 3,2024.0,18028.0,629.0,12.0,1.0,0.0,1.0,Long Range,Østfold,1.0,Norges Auto AS,0,Aktiv,414900.0,427091,12191,https://www.finn.no/mobility/item/449797643
Tesla Model 3,Tesla,Model 3,2019.0,65700.0,560.0,12.7,1.0,0.0,1.0,Performance,Vestland,1.0,Oddvar Bjelde & Co AS,0,Aktiv,238800.0,250953,12153,https://www.finn.no/mobility/item/451357552
Tesla Model 3,Tesla,Model 3,2019.0,88200.0,530.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,A L Auto AS,0,Aktiv,199900.0,212029,12129,https://www.finn.no/mobility/item/450770320
Tesla Model 3,Tesla,Model 3,2021.0,102000.0,580.0,12.0,1.0,0.0,1.0,Ukjent,Oslo/Akershus,1.0,Rebil,0,Aktiv,245000.0,257073,12073,https://www.finn.no/mobility/item/452680269
Tesla Model 3,Tesla,Model 3,2021.0,77552.0,614.0,12.433333333333334,1.0,0.0,0.0,Long Range,Annet,0.0,,0,Aktiv,264532.0,276555,12023,https://www.finn.no/mobility/item/452572842
Tesla Model 3,Tesla,Model 3,2023.0,56500.0,602.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,324900.0,336814,11914,https://www.finn.no/mobility/item/452839277
Tesla Model 3,Tesla,Model 3,2024.0,27000.0,629.0,12.0,1.0,0.0,1.0,Long Range,Vestland,1.0,Car4Sale AS,0,Aktiv,399000.0,410907,11907,https://www.finn.no/mobility/item/448338175
Tesla Model 3,Tesla,Model 3,2021.0,42500.0,567.0,1.0333333333333334,1.0,0.0,1.0,Performance,Vestfold/Telemark,1.0,Mobile Auto Vestfold AS,0,Aktiv,319900.0,331802,11902,https://www.finn.no/mobility/item/453071784
Tesla Model 3,Tesla,Model 3,2021.0,85000.0,614.0,18.966666666666665,4.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,254532.0,266306,11774,https://www.finn.no/mobility/item/452844103
