title,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,2019,218000.0,270.0,12.0,1.0,0,0.0,Ukjent,Annet,1,Auksjonen.No AS,0,65532.0,75743,10211,https://www.finn.no/mobility/item/453403393
Nissan Leaf,2012,165100.0,270.0,12.0,1.0,0,0.0,Ukjent,Annet,1,Auksjonen.No AS,0,13942.0,24132,10190,https://www.finn.no/mobility/item/452945936
Nissan Leaf,2015,99852.0,120.0,16.133333333333333,3.0,0,1.0,Ukjent,Vestfold/Telemark,1,BREILI AUTOSALG AS,0,49000.0,59038,10038,https://www.finn.no/mobility/item/452235757
Nissan Leaf,2017,75000.0,270.0,12.066666666666666,1.0,0,1.0,Ukjent,Annet,1,Møller Bil Bruktbil avd. Outlet Stor-Oslo,0,59000.0,68921,9921,https://www.finn.no/mobility/item/453326933
Nissan Leaf,2023,48500.0,285.0,12.0,1.0,0,1.0,Ukjent,Annet,1,ONSRUD AUTO GARDERMOEN AS,0,179000.0,188903,9903,https://www.finn.no/mobility/item/450752610
Nissan Leaf,2020,80000.0,385.0,24.166666666666668,1.0,0,0.0,Ukjent,Annet,0,,0,159999.0,169794,9795,https://www.finn.no/mobility/item/443421727
Nissan Leaf,2019,58000.0,270.0,16.0,2.0,0,0.0,Ukjent,Vestfold/Telemark,0,,0,134000.0,143651,9651,https://www.finn.no/mobility/item/451777175
Nissan Leaf,2018,95817.0,270.0,12.0,2.0,0,0.0,Ukjent,Vestfold/Telemark,1,Auksjonen.No AS,0,99532.0,109100,9568,https://www.finn.no/mobility/item/452510185
Nissan Leaf,2020,37700.0,385.0,12.0,1.0,0,1.0,Ukjent,Trøndelag,1,Aage Vold Autosalg AS,0,189000.0,198564,9564,https://www.finn.no/mobility/item/451771479
Nissan Leaf,2015,116200.0,270.0,12.0,2.0,0,0.0,Ukjent,Vestfold/Telemark,1,Telemark Bilutsalg AS,0,34900.0,44443,9543,https://www.finn.no/mobility/item/453249223
